Time,Open,High,Low,Last,Change,Volume
07/20/2020,86.58,86.58,86.55,86.56,-0.02,3534500.0
07/17/2020,86.57,86.58,86.55,86.58,0.019999999999996004,2016200.0
07/16/2020,86.57,86.58,86.555,86.56,0.0,1750000.0
07/15/2020,86.54,86.56,86.53,86.56,0.010000000000005,4553200.0
07/14/2020,86.56,86.57,86.54,86.55,0.0099999999999909,2112500.0
07/13/2020,86.54,86.55,86.53,86.54,0.0,2332000.0
07/10/2020,86.58,86.58,86.54,86.54,-0.029999999999987002,2447400.0
07/09/2020,86.55,86.57,86.54,86.57,0.019999999999996004,2508800.0
07/08/2020,86.55,86.56,86.54,86.55,0.0,3454800.0
07/07/2020,86.54,86.55,86.53,86.55,0.019999999999996004,2938900.0
07/06/2020,86.54,86.55,86.53,86.53,-0.030000000000001,3406700.0
07/02/2020,86.54,86.56,86.52,86.56,0.040000000000006,2662800.0
07/01/2020,86.56,86.56,86.52,86.52,-0.029000000000011003,4789300.0
06/30/2020,86.56898000000001,86.56898000000001,86.53901,86.54899999999999,-0.0099999999999909,4446531.0
06/29/2020,86.53901,86.559,86.52901,86.559,0.019989999999993,2768049.0
06/26/2020,86.50903000000001,86.54899999999999,86.50903000000001,86.53901,0.029980000000008996,4112796.0
06/25/2020,86.49903,86.51903,86.49903,86.50903000000001,0.0,1717909.0
06/24/2020,86.48904,86.50903000000001,86.47905,86.50903000000001,0.0099999999999909,2112487.0
06/23/2020,86.48904,86.49903,86.47905,86.49903,0.019980000000003998,2794067.0
06/22/2020,86.49903,86.50903000000001,86.47905,86.47905,-0.019980000000003998,2599731.0
06/19/2020,86.48904,86.51903,86.47905,86.49903,0.019980000000003998,3479951.0
06/18/2020,86.49903,86.49903,86.47905,86.47905,-0.0099900000000019,2028428.0
06/17/2020,86.46906,86.48904,86.46906,86.48904,0.029980000000008996,3371874.0
06/16/2020,86.46906,86.49903,86.45906,86.45906,-0.010000000000005,5310140.0
06/15/2020,86.48904,86.50404,86.46906,86.46906,-0.019980000000003998,3248187.0
06/12/2020,86.47905,86.49903,86.46906,86.48904,0.029980000000008996,3358265.0
06/11/2020,86.50903000000001,86.51903,86.45906,86.45906,-0.039970000000011004,3246886.0
06/10/2020,86.47905,86.51903,86.46406999999999,86.49903,0.049959999999999005,3148717.0
06/09/2020,86.42908,86.45906,86.42908,86.44906999999999,0.029970000000006002,7845325.0
06/08/2020,86.4191,86.44906999999999,86.39911,86.4191,-0.019980000000003998,4203160.0
06/05/2020,86.42908,86.43908,86.4091,86.43908,-0.029979999999995,4394395.0
06/04/2020,86.45906,86.47905,86.43908,86.46906,0.019989999999993,4353066.0
06/03/2020,86.49903,86.49903,86.44906999999999,86.44906999999999,-0.069959999999995,4479555.0
06/02/2020,86.51903,86.52901,86.49903,86.51903,0.0,3872027.0
06/01/2020,86.51903,86.53901,86.49903,86.51903,-0.0099900000000019,7000330.0
05/29/2020,86.50905,86.54899,86.50905,86.52901999999999,0.0,6917155.0
05/28/2020,86.49906,86.52901999999999,86.48908,86.52901999999999,0.039940000000001,3438497.0
05/27/2020,86.49906,86.539,86.48908,86.48908,-0.019970000000000997,3512909.0
05/26/2020,86.49906,86.51904,86.48908,86.50905,0.0,4362694.0
05/22/2020,86.52901999999999,86.539,86.50905,86.50905,0.0,2596324.0
05/21/2020,86.51904,86.52901999999999,86.50406,86.50905,-0.019970000000000997,3251214.0
05/20/2020,86.49906,86.539,86.49906,86.52901999999999,0.0,3503094.0
05/19/2020,86.48908,86.52901999999999,86.48908,86.52901999999999,0.04992,2980905.0
05/18/2020,86.539,86.539,86.4791,86.4791,-0.06989000000000099,2766281.0
05/15/2020,86.55898,86.56895,86.539,86.54899,0.049930000000003,1945740.0
